,0,1,2,3,4
0,1.2090702,-2.4964232,1.1067071,-1.1018138,1.0584726
1,-0.015893698,-1.9948316,1.5933242,1.5729437,-0.9182775
2,1.1380281,-2.9215283,-1.2963231,0.92653465,0.6379194
3,0.6219678,-2.081185,0.7701452,-1.3587353,1.0962281
4,0.9022722,-1.9346061,-1.3083247,-1.5879887,1.5269337
5,0.23855686,-2.507044,-0.70598364,1.0294261,-1.0790745
6,-0.13061166,-2.898793,1.5963631,1.930541,1.0838041
7,0.02308917,-1.9780955,0.97995377,-1.4750843,0.7838695
8,1.6686764,-1.2019483,1.9149394,-2.026816,1.5339394
9,-1.1615272,-2.1344051,-2.0649776,1.4140754,0.091736555
10,-0.3962648,-2.7609196,-1.1125349,-1.330751,0.1940453
11,0.513752,-2.8077834,0.86682415,0.9294243,0.5304241
12,0.38666582,-2.835539,-1.0902486,1.5681095,-1.2041564
13,0.66836715,-2.3383029,-0.98084784,1.8641229,0.49345112
14,0.6425321,-2.621507,0.8847604,-0.9578562,0.3999188
15,0.9866574,-2.932448,-0.8024876,-1.2231085,0.4687922
16,0.32809925,-2.4816232,0.87006855,1.1673536,1.0614753
17,0.06999922,-2.4619014,-1.5199544,1.2191896,0.808692
18,0.115003586,-2.5892959,-0.9538572,-2.5598128,-0.7938285
19,1.3823137,-2.6604679,-1.5206304,1.1804409,-0.29946995
20,1.180903,-1.9191484,1.3468084,-1.851543,1.6922088
21,-0.6587453,-2.7066407,-1.3869063,-0.99085045,-0.40686703
22,0.8596308,-2.8885624,1.3552976,-0.80839753,-0.57860684
23,-0.19430876,-2.902676,1.1373348,0.9248636,0.14324903
24,-0.33154297,-2.9999785,-1.5850072,1.8115935,1.1181722
25,1.3827701,-2.8673627,1.1637163,-0.8695748,0.6416192
26,-0.027642965,-1.7892143,-1.5298923,-1.7941198,-1.2277739
27,0.65155315,-2.9773588,-0.718441,-1.3791447,-0.12530184
28,1.0800958,-2.9518764,-1.4959583,0.8745856,-1.0879451
29,1.764864,-2.0270872,-1.4961543,1.2827926,1.4327669
30,0.8225627,-2.8504157,-1.1064394,-1.1139293,-0.82128525
31,-0.020073414,-1.9362694,-0.91367245,-1.3234744,-0.1642251
32,0.05633998,-2.6869915,0.6085303,-0.9750078,-0.2811303
33,0.85774827,-2.5956583,-1.1363297,1.1513658,-0.36508417
34,0.6131573,-1.5673978,-1.6138268,1.3998098,1.1076674
35,-1.1881828,-2.0067928,-1.83246,1.5870833,-1.2848451
36,-0.33404207,-2.6221838,1.2929373,-1.038003,-0.7964196
37,2.0949903,0.81004953,-1.7023027,2.8645267,1.8738246
38,0.668169,-2.7125924,-1.2915041,1.19136,0.4505005
39,0.24207878,-2.9905684,0.7591672,2.2152305,-0.26592684
40,0.13311529,-2.2685516,-0.9864547,-1.2691476,0.070084095
41,0.33674097,-2.7911224,-0.69625163,1.0205913,0.9239216
42,-0.029078245,-2.054311,1.3085995,-1.9209757,0.38721275
43,1.262805,-2.6581187,2.1763287,2.8934598,1.362
44,-1.747013,-2.897613,-1.4067875,-1.4644758,-0.7979708
45,-1.7852631,-2.119121,-2.2214208,1.8675103,-1.9478664
46,1.1778111,-1.6443577,-1.5020051,1.3564315,-0.120857716
47,0.62617564,-2.8462212,-1.0173461,0.96148634,0.11691761
48,0.22345161,-2.9800608,-0.8462539,-0.90236306,0.12496734
49,-0.2795043,-1.5578226,-2.0820527,-1.9573569,-1.3360553
50,-1.3827748,-2.3488424,1.9036632,1.289782,0.5834899
51,-1.8867985,-2.9836488,1.7385015,-0.9324901,0.44879198
52,0.96082354,-2.7447257,1.2260222,0.95730686,-0.059706688
53,2.2359238,-2.0469542,-1.3598081,-0.94783735,-0.111885786
54,-0.24992776,-2.7781157,-0.945492,1.1141891,0.2982316
55,0.2083776,-2.6718915,-0.81815934,1.4036083,-0.38157797
56,1.817626,-2.299205,2.3720694,1.7780809,2.1051683
57,-1.7301459,-2.7643743,-2.1307275,1.1111155,-1.1879373
58,1.1827087,-1.6532142,-1.462461,-1.3688624,0.4756322
59,0.8367057,-2.7593334,1.1712008,1.1263928,0.5139985
60,0.9986062,-2.4199338,1.4698925,1.0519114,-0.3549068
61,-0.23305559,-1.714489,-1.4027612,-1.2749465,-0.4588101
62,0.13114643,-2.9151285,0.86125016,-1.0033221,-0.057285786
63,0.8333037,-2.8979146,-0.8331933,1.1897469,0.62364864
64,-0.37445545,0.5808945,-1.4491878,-2.3636754,-1.4031912
65,0.8152323,-2.9588957,-0.74150324,0.8964753,0.5767007
66,-1.7375036,0.091943264,1.9869537,-2.1854165,-2.0636559
67,-0.2723751,-2.3024507,-1.1049292,1.0550776,-0.7008095
68,1.0722103,-2.9050279,-0.8982594,1.4216361,0.5772662
69,1.6907053,-2.1526318,1.3628063,1.3800793,0.22097898
70,0.8874414,-2.522445,1.3778238,1.1647286,0.62463784
71,0.20949483,-2.3568091,0.6155739,-1.1979114,-0.2150886
72,0.36995244,-2.1384287,-0.5175688,-1.7478223,0.083244324
73,0.59364843,-2.917563,1.0507708,-1.2520976,-0.2914307
74,0.2719617,-1.5718356,1.0884857,-1.387698,0.6920986
75,0.52879643,-2.2354627,0.8957114,1.1808395,0.8632984
76,1.7224426,-2.3134675,-1.5800269,1.3652802,0.54999065
77,0.74961853,-1.9750988,-0.5371599,-1.2194386,0.16153479
78,0.8010597,-2.2799473,-1.2017872,1.3423643,-0.15454865
79,0.8165183,-2.782698,-1.5265113,1.4122849,1.3174458
80,0.2170949,-2.7558782,-1.2488124,1.3243284,1.1354208
81,1.0887952,-1.356482,1.6280499,2.4211402,2.2816706
82,0.43144035,-1.3577567,-1.050332,-1.6220307,0.6701832
83,1.595583,-1.4011326,0.9471564,1.1686502,0.7900801
84,0.03621912,-2.0696428,-1.0520387,-1.0418326,0.13718128
85,0.6772034,-2.8775654,-1.3587103,1.1961961,-0.8044045
86,-0.118584156,-2.7521758,1.0619264,1.0194206,0.5459924
87,0.8596544,-2.4240751,-0.92224145,-1.8190789,-0.39337468
88,-0.6716745,-2.8058233,-1.1909909,0.9273896,-0.0946362
89,0.6092119,-2.005078,0.9959717,-1.6392618,-1.1287498
90,-1.495733,-2.8720226,1.8072481,0.79138565,0.0052649975
91,0.21213412,-2.6096473,1.4945793,-1.3714142,-1.0585735
92,1.003005,-2.590629,1.1502581,1.0204477,0.3922012
93,0.5694115,-2.19549,-1.2528144,1.2138386,-0.088698626
94,0.999213,-2.5957494,2.0940251,-2.2771077,0.7288289
95,0.2726462,-2.6160412,-0.89546704,-1.1487415,0.78143907
96,0.69720554,-2.7477717,0.80515766,-1.1015843,0.4799087
97,0.19394779,-2.563952,-2.030387,-1.914333,-0.8042147
98,0.85498,-2.5997715,-1.318955,1.35003,-0.63622475
99,-0.029534101,-2.9265523,-1.5496331,-1.0356302,-1.0240903
100,0.31445694,-2.4517682,-1.1076012,1.4405456,-0.87840605
101,1.2646298,-1.2858465,-2.108901,-2.8979602,2.5696921
102,1.6117697,-2.6385918,-1.1497114,1.3153248,0.53968954
103,1.6498976,-1.9500977,-1.8653542,1.2563748,0.6310463
104,1.7510319,-2.790679,-1.258131,1.3676219,0.9824014
105,1.9561019,-1.419251,2.5421953,-2.007516,2.0887804
106,0.63061047,-2.5251923,0.758199,-1.0051861,-0.13084817
107,-0.19229698,-2.9605894,1.0328445,-0.83067036,0.41601038
108,0.28098202,-2.6846685,-1.453414,-1.1899505,-0.24546337
109,-0.8521404,-2.1941447,1.1776447,-1.0502882,-0.51170945
110,1.9977045,-0.09821057,-1.1523618,-1.6279007,1.4659219
111,-0.15159988,-2.5505884,0.9432943,0.80912304,0.27685738
112,-0.4707408,-2.4765399,-1.449283,0.92299986,-0.38774037
113,1.069386,-2.463098,1.2995887,-0.9583216,-0.041279554
